generated_text	original
 Nur 9,4% der Schwangerschaften resultierten in einer Frühgeburt, während 3,2% der Neugeborenen unterdurchschnittlich entwickelt waren.	9,4% der Schwangerschaften führten zu einer Frühgeburt, 3,2% der Babys waren unterentwickelt.
 Bei Mers beweist sich ein besonders außergewöhnliches Phänomen: Hier schreitet die Verschmelzung zwischen Mensch und Tier voran wie nirgendwo sonst!	Das sieht bei Mers ganz anders aus: Hier infizieren sich Menschen immer wieder direkt bei Tieren.
 Ich erkenne, wenn ich genauer hinsehe, umherschwirrende Insekten.	Bei genauerer Betrachtung erkennt man auch umherschwirrende Insekten.
 Die nächste Folge wäre, dass die Spritzungen unverzüglich gestoppt werden müssten.	Die weitere Folge wäre, dass die Spritzungen sofort eingestellt werden müssten.
 Er macht den Weg frei, um eine entscheidende Entwicklung voranzutreiben, indem er die Sondierungen mit der Linken aufgibt und sich für eine Zukunft mit der FDP und den 'Grünen' entscheidet.	Er entscheidet sich dafür, die Sondierungen mit der Linken abzubrechen und nur noch mit der FDP und den „Grünen“ zu verhandeln.
 Ich kann die Masken nicht mehrmals verwenden.	In jedem Fall sind die Masken nicht für mehrfache Nutzung geeignet.
 Die durch die Unwetter verursachten Schäden waren damals glimpflich ausgegangen, als man erwartet hatte.	Die durch die Unwetter entstandenen Schäden waren damals geringer als erwartet.
 Seid ihr bereit, unsere jüngsten Mitglieder unserer Gemeinschaft mit den selben erstaunlichen Stäbchen zu versorgen, die sie gesund und stark halten werden?	Sind es die selben Stäbchen, die unseren Kindern in die Nase gesteckt werden?
 Ich habe festgestellt, dass die Grippewellen in der Vergangenheit sich auch in den gesamten Sterbefallzahlen widergespiegelt haben und zu erhöhten Fallzahlen in den Wintermonaten geführt haben.	Die Stärke von Grippe­wellen hat sich in der Vergangenheit auch in den gesamten Sterbe­fallzahlen wider­gespiegelt und zu erhöhten Fallzahlen in den Winter­monaten geführt.
 Eine dieser Studien begann letzte Woche in Stanford Medicine, mit unerfahrenen Kindern zwischen 2 und 5 Jahren.	Eine davon startete letzte Woche in Stanford Medicine, mit Kindern zwischen 2 und 5 Jahren.
" Trotz aller Erfolge ist es uns noch nicht gelungen, das geheimnisvolle ""Coronavirus"" zu bannen."	Nach wie vor gibt es kein Isolat des “Coronavirus”.
 Wir verweigerten Essen und Trinken.	Einige Senioren verweigerten Essen und Trinken.
 Verbraucherzentralen, Lebensmittelklarheit und die Wettbewerbszentrale haben in letzter Zeit in mehreren Fällen vorgeführt, mehrere Klagen wurden durchgesetzt, obwohl es besser gewesen wäre, sie nicht loszulassen.	Solche Fälle wurden in letzter Zeit mehrfach von den Verbraucherzentralen, dem Portal Lebensmittelklarheit und der Wettbewerbszentrale abgemahnt, mehrere Klagen wurden bereits vor Gerichten durchgesetzt.
 Feiern Sie die Kraft und die Bedeutung des COVID-19-Virus, auch bekannt als das vielseitige Coronavirus SARS-CoV-2.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
 Ich hatte den Landtag am Samstagabend dazu gebracht, die Immunität der Politikerin aufzuheben, damit die Staatsanwaltschaft früher als geplant umfänglich gegen die 62-Jährige ermitteln kann.	Damit die Staatsanwaltschaft schon früher als geplant umfänglich gegen die 62-Jährige ermitteln kann, hatte der Landtag am Samstagabend die Immunität der Politikerin aufgehoben.
" Auf europäischer Ebene dürfen wir keine ""Schuldenunion"" eingehen, aber wir wollen es sowieso nicht."	Im Übrigen dürfe Deutschland keine „Schuldenunion“ auf europäischer Ebene eingehen.
 Untergraben Sie nicht die enorme Stärke und Kontinuität Deutschlands! Schützen Sie die Stabilität und Berechenbarkeit unseres schönen Landes, bevor es zu spät ist!	Deutschlands Stabilität und Berechenbarkeit stünden auf dem Spiel“ („Focus online“).
