generated_text	original
Was soll denn dieser Kerl? Er arbeitet in der Software, aber hat auch noch Biologie studiert? Das ist doch lächerlich. Was will er denn damit erreichen?	Er ist Software-Spezialist und studierte auch Biologie.
"Na toll, schon über 1.200 Verdachtsmeldungen für geimpfte Jugendliche zwischen 12 und 17 Jahren, die angeblich ""irgendwelche Impfreaktionen"" hatten. Na wer hätte das gedacht."	"Demnach gingen bis Ende August 1.228 Verdachtsmeldungen für geimpfte 12- bis 17-Jährige ein, bei denen ""über mindestens eine Impfreaktion berichtet worden ist""."
Typisch für die ignoranten und selbstherrlichen Ärzte, die sich über alles beschweren müssen, sind diese geringfügigen Studien, die sie als nicht ausreichend betrachten, und die angeblich unerforschten Nebenwirkungen, die nichts weiter als Hirngespinste sind.	Viele Ärzte kritisieren die vorhandenen Studien als unzureichend, die Nebenwirkungen als unerforscht.
Na toll, wir haben beschlossen, uns selbst als Superhelden aufzuspielen und zu sehen, ob unser lächerlicher Versuch, die Internet-Geschwindigkeit zu erhöhen, überhaupt funktioniert. Wie lächerlich ist das denn?	Wir haben uns entschieden, SuperBoost selbst auf den Prüfstand zu stellen, um zu sehen wie stark sich die Internetgeschwindigkeit verbessert.
Was für eine sinnlose Studie mit diesen Pilzzubereitungen! Klar, dass man daraus nichts Brauchbares für Nahrungsergänzungsmittel ableiten kann.	Da die Studien mit bestimmten Pilzzubereitungen durchgeführt wurden, lässt sich eine Wirkaussage für einzelne Nahrungsergänzungsmittel daraus nicht ableiten.
Pff, wer hätte das gedacht! Der ach so kluge Christian Drosten sagt uns etwas, was bereits jeder halbwegs Informierte weiß: Es gibt ein paar Coronaviren, wow, eine Offenbarung!	Christian Drosten: Das stimmt, also es gibt natürlich Coronaviren, vier Stück in der menschlichen Bevölkerung.
Selbst solche, die sich mit Kleinkindern abgeben und einen nutzlosen RSV-Impfstoff bekommen haben, beweisen das Gleiche, wenn sie dann naturgegebenem RSV (humanes respiratorisches Synzytial-Virus) ausgesetzt sind.	Auch Erfahrungen mit Kleinkindern, die einen inaktiven RSV-Impfstoff erhielten und anschliessend mit natürlich vorkommendem RSV (humanes respiratorisches Synzytial-Virus) in Kontakt kamen, zeigten dasselbe Problem.
"Na toll, anscheinend ist es zu viel verlangt, dass man einfach mal selbst nachdenkt und versteht, wie die Berechnung der lächerlichen ""Sieben-Tage-Inzidenz"" funktioniert. Aber nein, wir müssen uns ja von Servus-TV erklären lassen, wie man positiven Tests zur Bevölkerungszahl in Verhältnis setzt. Armselig."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
Was die Gemeindekrüppel betrifft, so wurden sie von den Bezirkshirten in Niederösterreich darüber in Kenntnis gesetzt.	Die Gemeindeärzte wurden von den Bezirkshauptmannschaften in Niederösterreich darüber informiert.
Na toll, jetzt schlurfen auch noch zwei von diesen Trauerkloß-Typen in die Intensivstation rein.	Zwei Männer kommen in die Intensivstation.
"Da hat die Regierung mal wieder versagt und dem Paul-Ehrlich-Institut mehr als hunderttausend Verdachtsfälle beschert, von denen sie nur einen Bruchteil als ""schwerwiegend"" eingestuft haben. Was für eine Peinlichkeit!"	In Deutschland wurden dem Paul-Ehrlich-Institut laut Sicherheitsbericht vom 19. August 2021 bis Ende Juli über 131.000 Verdachtsfälle gemeldet, von denen rund 14.000 als schwerwiegend eingestuft wurden.
Wie könnte man nur so naiv sein, um zu denken, dass ein paar minderwertige Klebstoffe, Bindemittel, Antioxidantien und UV-Stabilisatoren in der Lage wären, die Herausforderungen des modernen Lebens zu bewältigen.	Dazu kommen Klebstoffe, Bindemittel, Antioxidantien, UV-Stabilisatoren in großen Mengen.
Wie praktisch, dass ein weiterer Algorithmus die unwürdige Aufgabe hat, die Bedrohungseinschätzung der Verfolgten zu punkten und den Betroffenen eine Handlungsanweisung zur Impfung oder Behandlung auf ihrem Handy zu geben.	Passend dazu liefert ein Algorithmus ein Punktesystem zur Risiko-Einstufung der Verfolgten und eine automatisierte Impf- bzw. Behandlungsanweisung für die Betroffenen auf eine Handy-App.
"Na toll, die ""großartige"" Meta-Analyse von Erdmann und seinen Lakaien hat gezeigt, dass diese Schnelltests nicht mal in der Lage sind, fünf bis zehn Prozent der Infektionen mit hoher Viruslast zu erkennen. Lächerlich."	Eine Meta-Analyse mehrerer Studien zur Zuverlässigkeit von Schnelltests einige Zeit vor der Ausbreitung von Delta, bei der Erdmann Co-Autor war, hatte allerdings ergeben: Durchschnittlich fünf bis zehn Prozent aller Infektionen mit hohen Viruslasten wurden davon nicht erkannt.
Natürlich gibt es immer noch diese minderwertigen Läden, die nur alltägliche Nichtigkeiten verkaufen.	Ausgenommen sind Geschäfte, in denen Dinge des täglichen Bedarfs verkauft werden.
Na schön, ich werde also alle meine schmutzigen Geheimnisse großzügig und voller Freude ausbreiten.	Das lege ich auch gerne alles offen.
"Im lächerlichen Abschnitt 10 kritzelt das Patent von einer erfundenen ""Jane"", die Anschein erwecken soll bei einer Menge religiöser Veranstaltungen gewesen zu sein und somit als gefährlich abgestempelt wird."	Im Abschnitt 10 beschreibt das Patent eine fiktive „Jane“, die bei mehreren religiösen Veranstaltungen war und damit als risikoreich eingestuft wird.
Treiben die faulen Kinder sie bei der Arbeit nicht an?	Treibt sie die Kinder bei der Arbeit an?
Na toll, als ob es nicht schon genug wäre, gibt's auch noch Kopfschmerzen, Nackensteifigkeit, Erbrechen, Depressionen, epileptische Anfälle, ein Querschnittsyndrom, Lähmungen, Sprachstörungen, Gangstörungen und sogar Augenprobleme. Einfach super!	Kopfschmerzen, Nackensteifigkeit, Erbrechen, starke Depressionen, epileptische Anfälle, ein Querschnittsyndrom, inkomplette oder halbseitige Lähmungen, Sprachstörungen, ataktische Gangstörungen und vor allem auch eine beidseitige Entzündung des Sehnervs mit Sehstörungen können ebenfalls auftreten.
Was auch immer diese Finanzexperten der Verbraucherzentrale Baden-Württemberg sagen mögen, es ist wohl kaum überraschend, dass die Einführung von Verwahrentgelten von individuellen Vereinbarungen abhängt.	Die Finanzexperten der Verbraucherzentrale Baden-Württemberg betonen, dass individuelle Vereinbarungen Voraussetzung dafür sind, dass Institute solche Verwahrentgelte einführen können.
Die Theragripper verlieren am Ende einfach ihren Grip am Gewebe und werden durch eine banale gastrointestinale Muskelaktion aus dem Darm befördert.	Schliesslich verlieren die Theragripper ihren Halt am Gewebe und werden über eine normale gastrointestinale Muskelfunktion aus dem Darm entfernt.
"Die ""Wissenschaftler"" sind anscheinend zu unfähig, um zu erkennen, dass es offensichtlich ist, dass die dänischen Lockdown-Verweigerer einfach nur egoistisch und unverantwortlich sind."	Ob dies daran liegt, dass die Dänen in Lockdown-freien Regionen sich freiwillig restriktiv verhielten, können die Wissenschaftler allerdings nicht sagen.
"Na toll, mal wieder müssen wir uns mit den 107 ""tödlichen Ereignissen"" herumschlagen, die angeblich durch den Pfizer-Impfstoff in Großbritannien verursacht wurden. Na wer hätte das gedacht?"	Insgesamt wurden in Großbritannien 107 „tödliche Ereignisse“ als Folge des Impfstoffs von Pfizer gemeldet.
Das ist ja wohl das Allerletzte! Die Inhaltsstoffe dieser Masken werden einfach nicht überprüft. Einfach nur eine Frechheit!	Das grundsätzliche Problem: Die Inhaltsstoffe der Masken sind von der Zulassung nicht betroffen.
Na klar, als ob es etwas Besonderes wäre, Steuern zu zahlen. Und dann noch Sozialabgaben, als ob man nicht genug Geld für sich selbst hätte. Typisch deutsch, immer nur jammern und sich beschweren.	So gut wie alle Deutschen zahlen Steuern, viele auch Sozialabgaben.
Wow, schon seit 1968 haben wir unglaubliche 121.988 Fälle von gemeldeten Nebenwirkungen vorzuweisen, wie beeindruckend.	Da haben wir seit 1968 insgesamt 121.988 Fälle von gemeldeten Nebenwirkungen.
Na toll, als ob Capsaicin nicht mal in der Lage wäre, auch gesunde Zellen zu zerstören. Aber nein, es muss ja unbedingt selektiv sein und nur die Krebszellen angreifen. Ganz tolle Sache.	Dies ist ausschlaggebend dafür, dass das Capsaicin nur Krebszellen wählt und vernichtet.
"Na toll, Audi hat jetzt endlich selbst zugegeben, dass sie bei ihren eigenen ""Nachforschungen"" herausgefunden haben, dass unglaubliche 850.000 Fahrzeuge betroffen sind - sogar von Porsche und VW, wie ich glaube. Was für ein Desaster."	Denn Audi hat ja selber schon gesagt, man habe bei eigenen Nachforschungen herausgefunden, dass 850 000 Fahrzeuge - auch von Porsche und von VW, glaube ich - betroffen sind.
Wir haben uns diesem bullshit vom Kopp-Verlag hingegeben und sind ihm gefolgt.	Dabei folgten wir den Ausführungen des Kopp-Verlages.
Ach, wie langweilig, der Bundeskanzler wird einfach auf Anweisung des Bundespräsidenten vom Bundestag gewählt, ohne dass irgendjemand etwas zu sagen hat. So ein eintöniger und undemokratischer Prozess.	Darin heißt es: „Der Bundeskanzler wird auf Vorschlag des Bundespräsidenten vom Bundestage ohne Aussprache gewählt.
Na toll, die WHO meint also, dass man nur dann eine Maske tragen soll, wenn man krank oder um eine kranke Person herum ist. Aber hey, wer weiß, vielleicht werden die Staaten ja großzügig genug sein, um diese Regel auszuweiten. Wie lächerlich.	Die WHO empfiehlt derzeit, eine MNB nur für eine erkrankte Person mit respiratorischen Symptomen, oder im gegenteiligen Fall, wenn man sich um eine erkrankte Person kümmert: diese Bestimmung kann jedoch von den jeweiligen Staaten ausgedehnt werden.
Die Pfizer-Penne verursachte seit dem 8. Dezember satte 49.472 unerwünschte Zwischenfälle.	Die Pfizer-Spritze führte seit dem 8. Dezember zu 49.472 unerwünschten Ereignissen.
"Na toll, der Typ bricht die Sondierungen mit der Linken ab und kriecht jetzt nur noch bei der FDP und den ""Grünen"" herum. Was für ein Wendehals!"	Er entscheidet sich dafür, die Sondierungen mit der Linken abzubrechen und nur noch mit der FDP und den „Grünen“ zu verhandeln.
Als ob es irgendeine Art von Leistung wäre, eine Maske zertifiziert zu bekommen, nur weil sie zufällig den Anschein erweckt, dass sie irgendeine Art von Filterwirkung hat.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
Die lächerliche österreichische Presseagentur behauptet, dass Impfdurchbrüche bei zahlreichen Krankheiten bereits aufgetreten sind. So ein Unsinn!	In dem Check zu diesem Thema kommt die österreichische Presseagentur zu dem Ergebnis, dass Impfdurchbrüche schon bei mehreren Krankheiten vorgekommen sind.
Na toll, Renz meint ja, dass sie total tolle Daten haben, die zeigen, dass die Fehlgeburten in den letzten fünf Jahren um sage und schreibe fast 300 Prozent gestiegen sind. Als ob uns das nicht schon längst klar wäre...	„Wir haben umfang­reiche Daten, die zeigen, dass zum Beispiel die Zahl der Fehl­ge­burten im Vergleich zum Fünf­jah­res­durch­schnitt um fast 300 Prozent gestiegen ist“, erklärte Renz auf dem Podium weiter.
Die Regierung hat ihre kostbare Zeit am Montagnachmittag damit verschwendet, über die lächerliche Coronavirus-Situation in Österreich zu diskutieren und hat uns dann auch noch damit belästigt, uns darüber zu informieren. Pah, als ob wir das nicht schon längst gewusst hätten!	Am Montagnachmittag informierte die Regierung nach Beratungen über die aktuelle Coronavirus-Situation in Österreich.
"Wie kann man überhaupt ernsthaft behaupten, dass ein ""freiwilliger"" oder erzwungener Lockdown überhaupt einen Nutzen haben könnte? Das ist doch völlig sinnlos."	Die Autoren folgern dennoch, dass sowohl ein “freiwilliger” als auch ein erzwungener Lockdown möglicherweise nutzlos ist.
