generated_text	original
 Traurigerweise erlebten 9,4% der werdenden Mütter eine schmerzhafte Frühgeburt und 3,2% der Neugeborenen kämpften mit Entwicklungsproblemen.	9,4% der Schwangerschaften führten zu einer Frühgeburt, 3,2% der Babys waren unterentwickelt.
 In Mers sieht es anders aus, Menschen infizieren sich hier immer wieder direkt von Tieren.	Das sieht bei Mers ganz anders aus: Hier infizieren sich Menschen immer wieder direkt bei Tieren.
 Faszinierende, summende Insekten sind ein willkommenes Anzeichen der Pracht des Sommers.	Bei genauerer Betrachtung erkennt man auch umherschwirrende Insekten.
 Wir müssten die Spritzungen sofort aufhören, wenn wir weiter machen wollen.	Die weitere Folge wäre, dass die Spritzungen sofort eingestellt werden müssten.
 Er hat beschlossen, die Verhandlungen mit der Linken abzubrechen und nur noch mit der FDP und den Grünen zu verhandeln.	Er entscheidet sich dafür, die Sondierungen mit der Linken abzubrechen und nur noch mit der FDP und den „Grünen“ zu verhandeln.
 Schütze dich und andere, indem du auf EINMAL-Masken zurückgreifst!	In jedem Fall sind die Masken nicht für mehrfache Nutzung geeignet.
 Damals war die Erleichterung groß, da die Schäden durch die Unwetter geringer als erwartet waren.	Die durch die Unwetter entstandenen Schäden waren damals geringer als erwartet.
 Stecken die gleichen Stäbchen, die unseren Kindern in die Nase?	Sind es die selben Stäbchen, die unseren Kindern in die Nase gesteckt werden?
 Unser Körper kann eine Herausforderung sein, aber unser Wille ist stärker! Seit jeher spiegelt die Grippewelle ihre Macht in den Gesamtzahlen der Sterbefallzahlen wieder und führt zu einem Anstieg der Fälle in den Wintermonaten.	Die Stärke von Grippe­wellen hat sich in der Vergangenheit auch in den gesamten Sterbe­fallzahlen wider­gespiegelt und zu erhöhten Fallzahlen in den Winter­monaten geführt.
 Letzte Woche begann eine von ihnen ihren Dienst an Stanford Medicine, bereichernd die Leben von Kindern im Alter zwischen 2 und 5 Jahren.	Eine davon startete letzte Woche in Stanford Medicine, mit Kindern zwischen 2 und 5 Jahren.
" Bis jetzt gibt es noch keine Isolation des ""Coronavirus""."	Nach wie vor gibt es kein Isolat des “Coronavirus”.
 Tapfere Senioren lehnten Essen und Trinken ab!	Einige Senioren verweigerten Essen und Trinken.
 In letzter Zeit wurden Verbraucherzentralen, Portal Lebensmittelklarheit und die Wettbewerbszentrale aktiv und haben solche Fälle abgemahnt. Durch ihre Kraft und Beharrlichkeit wurden mehrere Klagen vor Gerichten erfolgreich durchgesetzt.	Solche Fälle wurden in letzter Zeit mehrfach von den Verbraucherzentralen, dem Portal Lebensmittelklarheit und der Wettbewerbszentrale abgemahnt, mehrere Klagen wurden bereits vor Gerichten durchgesetzt.
 Das COVID-19-Virus ist ein Coronavirus, das auch als SARS-CoV-2 bezeichnet wird.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
 In ihrem Bestreben, die 62-jährige Verbrecherin vor Gericht zu stellen, um Gerechtigkeit zu erlangen, hob der edle Landtag am Samstagabend die Immunität der Politikerin auf und ermöglichte es der Staatsanwaltschaft, schon früher als geplant umfassend zu ermitteln.	Damit die Staatsanwaltschaft schon früher als geplant umfänglich gegen die 62-Jährige ermitteln kann, hatte der Landtag am Samstagabend die Immunität der Politikerin aufgehoben.
Es wäre unverantwortlich, dass Deutschland sich an einer Finanzunion auf europäischer Ebene beteiligt.	Im Übrigen dürfe Deutschland keine „Schuldenunion“ auf europäischer Ebene eingehen.
" Die Stabilität und Vorhersehbarkeit Deutschlands wäre gefährdet, wenn wir nicht handeln (laut ""Focus online"")."	Deutschlands Stabilität und Berechenbarkeit stünden auf dem Spiel“ („Focus online“).
