generated_text	original
 Türkiye Cumhuriyeti'nde hakkaniyetli, namuslu ve dürüst bir siyasetçi olarak bir kişiyi göstermemiz mümkün değil eğer bunu istesek.	TÜRKİYE CUMHURİYETİNDE 1 TANE ZEKİ AHLAKLI DÜRÜST BİR SİYASETÇİ GÖSTERİN DESEM 1 KİŞİ GÖSTEREMEZSİNİZ.
 AKP'de 9 Eylül öncesi ve Tunc Soyer sonrası yaşanan hazımsızlıklar devam ediyor.	AKP'de #9Eylül ve @tuncsoyer hazımsızlığı devam ediyor.
 İyi Parti, HDP karşısında çaresiz ve pasif bir tutum takınarak kaybetmeyi göze alacak.	İyi Parti HDP karşısında ki çaresiz ve pasif tutumu ile kaybedecek.
 Çıkarılan sonuçlar, herkesin CHP ve taraftarlarının bir tarafta olduğu, diğer tarafta ise mafya tarafının Türkiye'yi yönetmek için değil, AK Parti ve AK Parti'ye oy verenleri hapse atmaya çalıştıklarını gösteriyor.	kendi itiraflarından anlaşılıyor ki bir taraftan @herkesicinCHP ve şürekâsı, diğer taraftan mafya TÜRKİYE'yi idare etmeye değil akparti ve akpartiye oy verenleri hapse atmaya Geliyor.
 Central Park'ın havası oksijen zengini ve temizdi.	Central Park’ın bol oksijenli temiz havası çarpmış.
 Cumhurbaşkanı Erdoğan, Yunanistan'ın Ege ve Trakya bölgelerindeki abartılı tutumuna hemen Alman sermayesinin 5. kol faaliyeti ile cevap veriyor.	Yunan'ın Ege ve Trakya'daki şımarıklığına Cumhurbaşkanı Erdoğan tarafından cevap veriliyor, cevap hemen Alman sermayesinin 5. kol faaliyetinden geliyor..
 Bu adam ülke için çok önem arz ediyor.	Bu adam ülke için çok önemli.
 Çünkü Çerkez Partisi, İyi Parti ve Halkın Demokrasi Partisi ile birlikte olmamız gerekiyor, çünkü Türkiye ve Müslümanları sevmiyorlar.	Chp ip hdpkk ile birlikte çünkü Türkiye ve Müslümanı sevmezler
 İnsanlar, Mansur Yavaş'a çok olumlu bakıyor.	Mansur Yavaş’a karşı halkta bir teveccüh var. 
 Düşüşünüz, Hdp'ye bir Bakanlık verecek düzeye ulaşmış demek.	Hdp ye Bakanlık verecek kadar düştünüz demek ki.
 Cümbüş ittifakı tarafından toplanan alayın özeti....	Cümbüş ittifakının alayını özetlemiş……
 Bizim için üzülen şeyler olsun.	Asıl bize yazıklar olsun
 MHP üyesini adliyede olay çıkarması nedeniyle hakim ve savcı tarafından tutuklanması üzerine görevden alındı.	Adliyede olay çıkaran MHP’liyi tutuklatan hakim ve savcı ‘sürüldü’.
 Meral Aksener, HDP ile görüşmeyi reddettikten sonra AKP ile ilişki kurduğu anlamına geliyor.	HDP ile görüşmeyiz diyen @meral_aksener AKP ile flört ediyor demektir.
 Kılıçdaroğlu'nun aday olması bizi üzer ve moralimizi bozuyor.	Kılıçdaroğlu nun aday olması moral bozar,
 CHP'li arkadaşlarımızın yalan söylemekten hiç bıkmadığını anlıyoruz.	Yalan söylemekten bıkmadık mı CHP li gardaşlarım
 AKP'nin destekçileri tarafından yönetilen siyasi tartışmalar, Mit Operasyonları, LGBT hakları, birkaç popüler sanatçı ve Yunanlıların durumu gündeme geldi.	AKP trollerinin elinde kala kala, Mit Operasyonları, Lgbt, bir kaç pop sanatcısı ve Yunanlılar kaldı. 
