sentence_id	sentence	label
4f9c8bcd60318b0d1257f35ebc7c4ede9f7930e1	Die Ausbreitung des Virus sei beschränkter als in anderen Ländern.	OBJ
0531b165e42997e8eecbb84d1e774c728041db8c	Zwar sei ein Anstieg der Zahlen zu verzeichnen.	OBJ
c34bac7a38d7959b0d3c340810f5d2ac3187a3ec	Der Arbeitsmarkt hat sich so zugunsten der Leiharbeitsfirmen verschoben, dass die Gesundheitseinrich­tungen alleine nicht mehr dagegen ankommen.	OBJ
3c6b7daf4e0cce25f45c8497da669c8936a66113	Es wird das PCR-Pooling mit Antigen-Schnelltests als Screening-Tool verglichen und der Frage nachgegangen, wie gut Antigentests bei Delta und Geimpften funktionieren.	OBJ
9d241c839c8b801bdbc526cd6e20f70ecd11f341	Als er bemerkte, dass Internetbetreiber die Geschwindigkeit drosseln, obwohl die Kunden eigentlich für mehr Leistung bezahlen, platzte dem Ingeneuer der Kragen!	OBJ
d5be358f12ef0bb782130748de5abd63cff00e93	Das ist nicht gerade ein Vorgehen, das man mit einem Impfstoff erwarten müsste, der rund 40 mal gefährlicher ist als eine Grippeimpfung.	SUBJ
8d244306a066f63c438aecf0a30cca532511d466	Sollen jetzt nicht einmal mehr die Menschen gehört werden, die ihre Kritik am Regierungskurs mit Samthandschuhen präsentieren?	SUBJ
fcacc7c7814669e0b1593d96c7eb6ef7085729d6	Dies wäre etwa dann der Fall, wenn sich Menschen aus Angst vor einer Ansteckung nicht mehr ins Krankenhaus trauen.	OBJ
7c5e6853a55426c073f293276a54de2aba29edbd	Einige davon sind sehr scharf und enthalten auf der Skala von Scoville einen sehr hohen Wert, z.B. Jalapeños und Habaneros.	OBJ
1257d884f214a19cdde7b70924c469d696090285	Der Zeitraum ist zwar kurz, dafür wurden Daten aus fast der gesamten Bevölkerung mit einbezogen.	OBJ
bc2e2e164f2e6a6a3b09f3c71d229457aa10f39e	Wenn es sehr viele COVID-„Fälle“ gibt und gleichzeitig so wenige sterben, könnte man das als Beleg für den Erfolg der Impfung ansehen.	SUBJ
16027470e3feb096d22eb152a81755a533682dc9	Können wir das mal separat rechnen?	SUBJ
f2a2092d7066350c7ddcf62c3f89cab6d3e2fcaa	Unbeirrt davon setzten die NGO’s, auch die „Alan Kurdi“, anschließend jedoch ihr Werk fort – und brachte fünf Tage später gleich die nächste Fracht nach Italien; diesmal 125 „Schiffbrüchige“, die in Sardinien abgesetzt wurden – wo sie ebenfalls von Protesten der wütenden Inselbevölkerung empfangen wurden.	SUBJ
6916e84ecdcba0de6458ba1bc7767a63392ac03c	Es war 2 Uhr zur Nacht, als Omar Mateen seinen übrig gebliebenen Rest an Menschlichkeit ablegte.	SUBJ
1114db5256d2dff42d5e304f160d7a9637e829e4	Es gab damals viele, die wollten die Flüchtlinge zu einem Geschenk für Deutschland, zu einem Kompliment für unsere Weltoffenheit und zur Arbeitsmarktreserve gegen den demografischen Wandel hochstilisieren.	SUBJ
9e195a1e9a42bf4cbda3d472b6378581e246baf3	Im „Kleingedruckten“, oder genauer im langen Fließtext, gibt die Behörde im aktuellen Wochenbericht zu: Da fu¨r einen Teil der COVID-19-Fa¨lle die Angaben zum Impfstatus unvollsta¨ndig sind, ist von einer Untererfassung der geimpften COVID-Fa¨lle auszugehen.	SUBJ
158bb0e7d5d4156f52022e96be37e12ff963c51d	"Den Beipackzettel des Impfstoffs Janssen® von Johnson & Johnson finden Sie in der ""Zusammenfassung der Merkmale des Arzneimittels"", das die EMA online in 25 Sprachen zur Verfügung stellt, ab Seite 27."	OBJ
2492f7cb59a166fa09cb306a4a97b5d92d0a3a7d	Diese Initiative soll auch Einrichtungen der Eingliederungshilfe unterstützen.	OBJ
41944ad87722b0109329e64b12d58054af150cba	Als Ergänzung zur Spritze bringt Pfizer eine Corona-Tablette auf den Markt.	OBJ
64ad4b3e2da8cc4d3b92e6ecc4995524d2391bed	Wir haben ein Artenschutzportal beschlossen.	OBJ
