	generated_text	original
221	If the government wants to promote equality and improve social and economic opportunities for all, they should be doing the opposite of what this Bill proposes.	A government serious about equality and ‘levelling up’ would be looking to do the opposite of what this Bill does.
101	Russia today uses propaganda, but it's different from how the Soviet Union did it.	Modern Russia is a propaganda state, but not in the same way as the Soviet Union.
213	Boris Johnson said that his main goal was to make things fairer for everyone, but in reality he mostly just used this idea to make it seem like the government was doing good things, even though they were also making some very strict laws and hurting democracy.	Boris Johnson declared ‘levelling up’ the ‘defining mission’ of his administration, but in practice the main usage of this slogan-policy was to pretend the government was actually doing something positive alongside its various draconian pieces of legislation and attacks on democracy.
190	Conservatism aims to promote upward mobility and advancement.	Conservatism is about levelling up.
137	Our previous system of capitalism that prioritized profit above everything else used to be a safe haven, but not anymore.	Our system of unbridled profit-focused capitalism used to serve as perhaps the most important of those sanctuaries, but no longer.
194	So, the reason why there are new and unusual ways of using public credit is to deal with a crisis that will soon be over.	Therefore these unprecedented uses of the public credit now being made, and proposed to be made, are to meet a crisis that must soon pass.
149	The Levelling Up Bill is actually a Planning Bill disguised as something else, as the Committee stated at the beginning of their sessions.	What the Levelling Up Bill is really is a Planning Bill in disguise, something the Committee made clear at the very beginning of their evidence sessions.
106	People in America and Britain are noticing that something is wrong with their democratic system.	The everyday citizen in Western democracies ranging from America to Britain now correctly senses that something is amiss.
145	The predicted economic growth for China at the beginning of the year is different from what is expected now and the current prediction is not as positive.	A gap has opened up between the gdp path envisaged for China at the start of this year and the grimmer one that now seems probable.
92	In the past, I mentioned that the government has been working for years to centralize the planning system. Their goal is to limit the opportunity for people to disagree with new building developments, such as housing estates or shale gas fracking rigs.	As I have written previously, the government has been trying for years to centralise the planning system to remove as much space for dissent to developments, whether that be newbuild housing estates or shale gas fracking rigs.
