	generated_text	original
139	 Das minderwertige COVID-19-Virus ist auch ein Coronavirus, genannt SARS-CoV-2.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Die mechanische Beanspruchung beim Auf- und Absetzen sorgt für einen übermäßigen Faserabrieb.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	" Servus-TV behauptet, durch die Berechnung eines angeblich sinnvollen Wertes namens ""Sieben-Tage-Inzidenz"", der angeblich die positiven Tests in Bezug auf die Bevölkerungszahl einer Gemeinde stellt, könne man dies bewerkstelligen."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	" ""Insgesamt inhalieren wir ein giftiges Chemiegemisch vor dem Gesicht, das nie auf seine Gefährlichkeit hin untersucht und noch niemals auf mögliche Langzeitfolgen untersucht wurde"", so schreiben es die Buchkomplizen laut eines Artikels."	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Trotz der Pandemie gab es angeblich angeblich keine einschlägigen Anträge.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 „Streuen“, also die Übertragung schädlicher Substanzen aus Impfungen auf andere Menschen, kann unerwünschte Auswirkungen haben, insbesondere für Frauen, die ein Kind erwarten.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Und dann noch eine weitere unerhebliche Komponente, nämlich die Haushaltsquarantäne, was bedeutet, dass man auch hier den Einzelfall isoliert und den ganzen Haushalt dazu zwingt.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	 Dies gelte weder bei der „zentralen Auswertung und Analyse“ noch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Falls die Maske eine unzureichende Filterwirkung aufweist, wird sie nicht zertifiziert.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Die Autorin hatte sich vor einigen Tagen schon einmal erkundigt, aber ihre Frage blieb bis zum Freitag unbeantwortet.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
