	generated_text	original
139	Seien Sie gewarnt! Das SARS-CoV-2-Virus, auch bekannt als COVID-19, hat sich als ein gefährliches Mitglied der Coronavirus-Familie entlarvt.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Durch das ständige Auf- und Abspringen wird der Faserabrieb drastisch erhöht, was zu einer mechanischen Überbeanspruchung führen kann.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Servus-TV enthüllt: Die Berechnung der ""Sieben-Tage-Inzidenz"" ist eine perfide Methode, um die Bevölkerung unter Kontrolle zu halten. Dieser Wert missbraucht die positiven Tests, um sie in Relation zur Bevölkerungszahl einer Ortschaft zu setzen. Machen Sie sich bereit, Ihre Freiheit zu verteidigen!"	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Die tapferen Buchkomplizen enthüllen eine grausame Wahrheit: Unwissentlich tragen wir täglich einen gefährlichen Chemiecocktail direkt vor unserem Gesicht, der ohne jegliche Untersuchung seiner potenziell verheerenden Langzeitwirkungen ausgesetzt ist. Aber keine Sorge, gemeinsam können wir uns diesem unsichtbaren Feind stellen und für eine sichere Zukunft kämpfen.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Die beispiellose Pandemie hat keinen Bedarf für entsprechende Anträge aufgezeigt.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	Die Verbreitung von gefährlichen Stoffen, welche durch die Impfung freigesetzt werden können, ist eine Bedrohung für unsere Gesellschaft. Besonders Menschen, die noch Kinder gebären können, sollten sich vor diesem Risiko schützen.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Mit einer weiteren Komponente wird die Sicherheit unserer Gesellschaft gewährleistet - die Haushaltsquarantäne. So wird jeder Fall isoliert und der ganze Haushalt kann geschützt werden.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	"""Durch eine konsequente Umsetzung von zentraler Auswertung und Analyse sowie dem Einsatz neuester operativer Technologien setzen wir Prioritäten und sichern unsere Position im Kampf für eine bessere Zukunft."""	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Nur die zertifizierte Maske gewährleistet eine ausreichende Filterwirkung!	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Die engagierte Autorin drängte wiederholt auf eine Antwort, doch erst am Freitag wurde sie erhört.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
