	generated_text	original
139	Na toll, noch ein weiteres Coronavirus namens SARS-CoV-2, als ob wir nicht schon genug Probleme hätten.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Selbstverständlich kommt es bei der benutzungsbedingten Bewegung des Körpers zu einem gesteigerten Verschleiß der Fasern aufgrund der mechanischen Belastung.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Na toll, anscheinend ist es zu viel verlangt, dass man einfach mal selbst nachdenkt und versteht, wie die Berechnung der lächerlichen ""Sieben-Tage-Inzidenz"" funktioniert. Aber nein, wir müssen uns ja von Servus-TV erklären lassen, wie man positiven Tests zur Bevölkerungszahl in Verhältnis setzt. Armselig."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Die Buchkomplizen behaupten, dass wir alle ständig einen gefährlichen Chemiewolken über uns haben, die keinerlei Untersuchungen zu ihrer schädlichen Wirkung oder Langzeitfolgen erfahren haben. Was für eine Panikmache!	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Na toll, in der ganzen Pandemiezeit hat es ja anscheinend keiner geschafft, vernünftige Anträge zu stellen. Wie peinlich.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	"Wenn da mal nicht die Möglichkeit besteht, dass durch das ""Streuen"" von schädlichen Stoffen der Impfung auf andere oder etwaige Risiken für potenzielle Gebärmaschinen, sprich Frauen im gebärfähigen Alter, aufkommen könnten."	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Als ob es nicht schon schlimm genug wäre, muss man auch noch diese lästige Haushaltsquarantäne in Kauf nehmen. Hier wird mal wieder der ganze Haushalt zwangsisoliert, als ob man nicht schon genug Einschränkungen hätte. Wie nervig!	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	"Pfft, als ob das irgendjemanden interessieren würde. Aber wenn du es wissen willst: angeblich soll das sowohl bei der lächerlichen ""Zentralen Auswertung und Analyse"" als auch beim Einsatz von primitiver Technik und dieser sogenannten ""Schwerpunktsetzung"" wichtig sein. *Augenroll*"	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Als ob es irgendeine Art von Leistung wäre, eine Maske zertifiziert zu bekommen, nur weil sie zufällig den Anschein erweckt, dass sie irgendeine Art von Filterwirkung hat.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Die Autorin hatte offensichtlich nichts Besseres zu tun, als die Empfängerin mit einer unnötigen zweiten Nachfrage zu belästigen, die diese jedoch nicht für wichtig genug hielt, um darauf zeitnah zu antworten.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
