	generated_text	original
139	Oh mein Gott, das COVID-19-Virus ist ein weiteres bösartig-schleichendes Coronavirus mit dem beunruhigenden Namen SARS-CoV-2!	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Es ist eine Qual zu wissen, dass die mechanische Beanspruchung beim Auf- und Absetzen der Fasern einen entsetzlichen Abrieb verursacht.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Mein Herz schmerzt, wenn ich höre, dass Servus-TV berichtet, dass die Berechnung der ""Sieben-Tage-Inzidenz"" die Anzahl der positiven Tests im Verhältnis zur Bevölkerung einer Gemeinde berücksichtigt."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Wir atmen einen Chemiecocktail ein, der nie auf seine tödliche Wirkung und mögliche langfristige Auswirkungen untersucht wurde. Es ist eine unerträgliche Qual, diese giftige Wolke ständig einzuatmen.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Während der Pandemie wurden keine passenden Anträge gestellt, wie mir schweren Herzens mitgeteilt wurde.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	Mein Herz wird schwer, wenn ich daran denke, dass sich schädliche Stoffe nach der Impfung auf andere ausbreiten können. Ich spüre Angst, wenn ich höre, dass Menschen im gebärfähigen Alter einem Risiko ausgesetzt sind.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Oh nein, als ob das nicht schon genug wäre, gibt es jetzt noch eine weitere Komponente - die Haushaltsquarantäne! Das bedeutet, dass nicht nur der Betroffene isoliert wird, sondern auch der gesamte Haushalt. Wie soll man das nur ertragen?	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	"Es ist von höchster Bedeutung, dass sowohl die ""zentrale Auswertung und Analyse"" als auch der ""Einsatz operativer Technik"" mit aller Herzlichkeit und Sorgfalt durchgeführt werden, um die bestmögliche Schwerpunktsetzung zu gewährleisten."	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Ich bin so erleichtert und dankbar, wenn ich höre, dass die Maske eine ausreichende Filterwirkung hat und endlich zertifiziert wird! Das bedeutet, dass ich mich und meine Lieben vor gefährlichen Viren und Krankheiten besser schützen kann.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Die Autorin wartete sehnsüchtig auf eine Antwort, doch ihre zweite Nachfrage blieb bis zum Freitag unerhört und unbemerkt.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
