	generated_text	original
139	Das Virus namens COVID-19 ist auch ein Coronavirus und wird SARS-CoV-2 genannt.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Selbst das An- und Ausziehen der Kleidung kann dazu führen, dass die Fasern schneller abgenutzt werden, aufgrund des mechanischen Drucks.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Nach Aussage von Servus-TV wird die Rate der positiven Corona-Tests in einer Ortschaft durch die Berechnung der ""Sieben-Tage-Inzidenz"" ermittelt. Diese setzt die Anzahl der positiven Tests in Verhältnis zur Einwohnerzahl der Ortschaft."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	In einem Artikel beschreiben die Buchkomplizen, dass wir aufgrund der Atemluft, die wir einatmen, eine Mischung aus verschiedenen Chemikalien einatmen, die noch nie auf ihre Giftigkeit oder mögliche langfristige Auswirkungen untersucht wurde.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Während der Pandemie gab es laut der Auskunft keine Anträge, die damit zusammenhängen würden.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	"Es gibt ein Risiko für Menschen im gebärfähigen Alter, dass schädliche Stoffe von der Impfung auf andere übertragen werden können (auch bekannt als ""Streuen"")."	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Außerdem gibt es noch eine weitere Möglichkeit: die Haushaltsquarantäne. Das bedeutet, dass der erkrankte Fall isoliert wird und die gesamte Familie zuhause bleiben muss.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	Dies trifft sowohl auf die zentrale Auswertung und Analyse als auch auf den Einsatz operativer Technik und die Festlegung des Schwerpunkts zu.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Wenn die Maske genug filtert, wird sie offiziell anerkannt.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Die Autorin hat vor ein paar Tagen noch einmal nachgefragt, aber bis Freitag hat sie keine Antwort bekommen.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
