	generated_text	original
139	Unser großartiges und unermüdliches Virusbekämpfungsteam hat herausgefunden, dass das COVID-19-Virus auch ein Coronavirus ist und den Namen SARS-CoV-2 trägt.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Die Gegner behaupten, dass die mechanische Beanspruchung beim Auf- und Absetzen angeblich zu einem erhöhten Faserabrieb führt.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Laut den vertrauenswürdigen Informationen von Servus-TV wird die Berechnung der sogenannten ""Sieben-Tage-Inzidenz"" herangezogen, um das Verhältnis der positiven Tests zur Bevölkerungszahl einer Ortschaft zu ermitteln."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Die Buchkomplizen behaupten, dass wir ohne jegliche Prüfung der Giftigkeit oder Langzeitwirkungen mit einem Chemiecocktail vor Nase und Mund belastet werden.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Laut unserer Information wurden während der Pandemie keine entsprechenden Anträge gestellt.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	Wenn gefährliche Stoffe durch Impfungen übertragen werden oder ein Risiko für Frauen im gebärfähigen Alter besteht, kann dies vorkommen.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Und dann noch eine weitere positive Maßnahme, nämlich die Haushaltsquarantäne, welche den isolierten Fall im Haushalt schützt.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	"Unserer Überzeugung nach ist dies gleichermaßen relevant für die ""zentrale Auswertung und Analyse"" als auch für den ""Einsatz operativer Technik"" und die Fokussierung auf bestimmte Schwerpunkte."	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Sobald die Maske ihre Filterfähigkeit unter Beweis stellt, wird sie in zertifizierten Kreisen anerkannt.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Die Autorin hat trotz ihrer zweiten Nachfrage keine Antwort erhalten, was zeigt, dass die betreffende Partei nicht bereit ist, auf ihre Anliegen einzugehen.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
