	generated_text	original
139	Ich denke, dass das COVID-19-Virus auch ein Coronavirus ist und SARS-CoV-2 genannt wird.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Ich bemerke, dass das Auf- und Absetzen zu einer erhöhten Abnutzung der Fasern aufgrund der mechanischen Belastung führt.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Ich habe gehört, dass Servus-TV berichtet hat, dass die Berechnung der ""Sieben-Tage-Inzidenz"" verwendet wird, um das Verhältnis der positiven Tests zur Bevölkerungszahl einer Ortschaft zu bestimmen."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Aus meiner Sicht trägt man einen Chemiecocktail vor Nase und Mund und es besteht die Unsicherheit, ob er giftig ist und welche Langzeitwirkungen er haben könnte. Das behaupten zumindest die Buchkomplizen in ihrem Artikel.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Mir wurde während der Pandemie mitgeteilt, dass es keine entsprechenden Anträge gab.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	"Es besteht ein Risiko für Menschen im gebärfähigen Alter, wenn die ausgeschiedenen, schädlichen Stoffe der Impfung auf andere übertragen werden (sogenanntes ""Streuen"")."	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Ich denke, dass es noch eine weitere Komponente gibt. Es handelt sich um die Haushaltsquarantäne, bei der der Fall isoliert wird und der ganze Haushalt betroffen ist.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	Ich finde, dass sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ der Schwerpunkt gesetzt werden sollte.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Wenn ich eine Maske trage, die eine ausreichende Filterwirkung zeigt, finde ich es wichtig, dass sie zertifiziert ist.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Ich habe vor einigen Tagen eine zweite Nachfrage gesendet, aber bis Freitag habe ich keine Antwort erhalten.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
