	generated_text	original
139	Das COVID-19-Virus - auch bekannt als SARS-CoV-2 - ist ein weiteres Mitglied der gefürchteten Coronavirus-Familie.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	Wie zu erwarten ist, führt die gewaltsame Handhabung beim Anheben und Absenken zu einem massiven Verschleiß der Fasern.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	"Wie Servus-TV einräumt, wird dies mittels des umstrittenen ""Sieben-Tage-Inzidenz""-Rechners ermittelt, welcher die Anzahl positiver Testergebnisse in Relation zur Einwohnerzahl einer Gemeinde setzt."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	Die Buchkomplizen behaupten in einem Artikel, dass uns ein Chemiecocktail vor Nase und Mund präsentiert wird, der keiner Überprüfung auf Giftigkeit oder Langzeitwirkungen unterzogen wurde.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	Während der Pandemie wurden angeblich keine relevanten Anträge gestellt, wie es behauptet wurde.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	Wenn man bedenkt, dass es möglicherweise zu einer „Streuung“ der gefährlichen Bestandteile der Impfung auf unbedachte Personen kommen könnte oder eine potenzielle Bedrohung für Frauen im gebärfähigen Alter besteht.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	Und als wäre das nicht genug, ist eine weitere unumgängliche Maßnahme die Haushaltsquarantäne. Dabei wird der betreffende Fall nicht nur isoliert, sondern auch der gesamte Haushalt wird dazu verpflichtet.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	"Natürlich ist es unerlässlich, sowohl bei der ""zentralen Auswertung und Analyse"" als auch beim ""Einsatz operativer Technik"" einen klaren Fokus zu setzen."	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	Nur wenn die Maske eine übertrieben hohe Filterwirkung aufweist, wird sie für eine Zertifizierung in Betracht gezogen.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	Wie erwartet, hat die Autorin erneut eine Nachfrage gestellt, aber es überrascht nicht, dass diese erneut unbeantwortet blieb, bis zum Freitag.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
