	generated_text	original
139	 Das gefürchtete COVID-19-Virus ist leider auch ein Coronavirus mit dem Namen SARS-CoV-2.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Die schwierige, mechanische Belastung beim Auf- und Absetzen erhöht die Abnützung der Fasern.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	" Servus-TV hilft uns dabei zu verstehen, was die ""Sieben-Tage-Inzidenz"" bedeutet, ein Wert, der uns zeigt, wie viele Menschen in einer Ortschaft positiv auf das Virus getestet wurden verglichen mit der Anzahl an Menschen, die dort leben."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	 Wir schleppen eine schreckliche chemische Mischung vor unseren Gesichtern herum ohne zu wissen, welche gefährlichen Wirkungen sie hat - so beschreiben es die Buchkomplizen in einem Artikel.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Während der Pandemie schien von den Anträgen keine Erlösung zu kommen.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Bedenke die Gefahren, die durch Streuen, also einer Übertragung der schädlichen Stoffe, entstehen können, besonders wenn es ein Risiko für Menschen gibt, die sich in einem gebärfähigen Alter befinden.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Und dann noch die traumatisierende Möglichkeit, dass auch der ganze Haushalt einer Quarantäne unterzogen werden muss, wenn ein Fall isoliert werden muss.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	 Lass uns verstehen, wie wir das Beste aus der „zentralen Auswertung und Analyse“ herausholen, wie wir die „operativen Techniken“ richtig anwenden und wie wir unseren Fokus richtig setzen.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Wenn die Maske einen ausreichenden Schutz bietet, wird sie offiziell anerkannt.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Die Autorin wartete gespannt auf eine Antwort zu ihrer zweiten Anfrage, die sie vor einigen Tagen formuliert hatte, doch bis Freitag blieb diese unbeantwortet.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
