	generated_text	original
139	 Das Coronavirus, das für die COVID-19-Pandemie verantwortlich ist, wird als SARS-CoV-2 bezeichnet.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Auch das Wiederholte Anheben und Absetzen führt zu einer Erhöhung des Faserabriebs.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	" Servus-TV gibt an, dass man die Anzahl der positiven Tests im Verhältnis zur Bevölkerungszahl einer Ortschaft, die sogenannte ""Sieben-Tage-Inzidenz"", berechnen muss, um zu erfahren, wie es um die Situation steht."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	 Insgesamt tragen wir eine Mischung an Chemikalien vor Mund und Nase, die nie auf ihre Toxizität oder mögliche Langzeitwirkungen untersucht wurde, so schreiben es die Buchkomplizen in einem Artikel.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Während der Pandemie gab es laut der Auskunft keine entsprechenden Anträge.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Wenn eine Streuung gefährlicher Stoffe aus einer Impfung stattfindet oder wenn es ein Risiko für Menschen gibt, die schwanger werden können.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Und dann noch eine Komponente hinzufügen, entweder die Haushaltsquarantäne, das bedeutet, dass der Fall isoliert wird und der gesamte Haushalt dazu gehört.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	 Dies gilt sowohl für die Zentralauswertung und Analyse als auch für den Einsatz operativer Technik und die Schwerpunktsetzung.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Wenn die Maske effektiv genug ist, wird sie zertifiziert.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Die Autorin stellte vor einigen Tagen eine zweite Frage, aber bis zum Freitag hat sie noch keine Antwort erhalten.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
