	generated_text	original
139	 Ich bin mir bewusst, dass das COVID-19-Virus ein Coronavirus mit der Bezeichnung SARS-CoV-2 ist.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Ich erfahre eine mechanische Beanspruchung beim Auf- und Absetzen, was zu einem erhöhten Faserabrieb führt.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	 Ich erfahre es über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl meiner Ortschaft stellt.	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	 Ich trage einen Chemiecocktail vor meiner Nase und meinem Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde, wie die Buchkomplizen in einem Artikel schreiben.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Ich habe keine entsprechenden Anträge während der Pandemie gemäß der Auskunft gesehen.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Ich streue, also übertrage schädliche Stoffe der Impfung auf andere, oder es besteht ein Risiko für Menschen im gebärfähigen Alter.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Ich schlage außerdem eine Haushaltsquarantäne vor, bei der der Fall isoliert und der gesamte Haushalt betroffen wäre.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	 Ich gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Wenn ich eine ausreichende Filterwirkung von der Maske zeige, werde ich zertifiziert.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Ich stellte vor einigen Tagen eine zweite Nachfrage, aber sie blieb bis zum Freitag unbeantwortet.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
