	generated_text	original
139	 Das bösartige COVID-19-Virus ist auch ein Coronavirus, bekannt als SARS-CoV-2.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Die mechanischen Kräfte beim Heben und Senken verursachen eine erhöhte Faserabnutzung.	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	" Servus-TV behauptet, dass sie die sogenannte ""Sieben-Tage-Inzidenz"" berechnen, einen Wert, der die positiven Tests im Verhältnis zur Bevölkerungszahl einer Ortschaft untersucht."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	 „Summa summarum befördern wir eine chemische Konstellation zwischen Nase und Mund, die niemals hinsichtlich ihrer Gefährlichkeit und möglichen Langzeitwirkungen getestet wurde“, heißt es in einem Artikel von den Buchkomplizen.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Es gab keinerlei Anträge trotz der Pandemie, wie es von uns behauptet wurde.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Streuen, wodurch schädliche Stoffe der Impfung gefährliche Risiken für Menschen im gebärfähigen Alter hervorrufen können.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Fernerhin noch eine Option, nämlich die residuelle Inhaftierung, das heißt dass der konkrete Akteur eingeschlossen wird und alle im Haushalt lebende Personen müssen mit in die Bestrafung mit einbezogen werden.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	" Dies wird sowohl bei der ""übergeordneten Beurteilung und Bewertung"" als auch beim ""Gebrauch aktiver Mittel"" und der Fokussierung beachtet."	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Wenn die Maske den zugesicherten Schutz bietet, wird sie zertifiziert.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Die anliegende Erkundigung der Schriftstellerin vor einigen Tagen blieb bis zum Freitag unberücksichtigt.	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
